timestamp,batch,exp_id,status,result,hypothesis,changes
2026-03-17 13:29:36,11,b11_crazy_4,done,0.3231,"Crazy: P_std=0.1, skip_connections=true, label_drop_prob=0.1, P_mean=-6.0","{""blr"": ""3e-3"", ""P_std"": ""0.1"", ""P_mean"": ""-6.0"", ""zero_init_residual_scale"": ""false"", ""bottleneck_dim"": ""1536"", ""in_context_start"": ""5"", ""in_context_len"": ""64"", ""learned_pos_embed"": ""false"", ""proj_dropout"": ""0.0"", ""attn_dropout"": ""0.1"", ""skip_connections"": ""true"", ""weight_decay"": ""1e-2"", ""label_drop_prob"": ""0.1""}"
2026-03-17 13:29:50,11,b11_crazy_5,done,0.3937,"Crazy: in_context_start=11, learned_pos_embed=true, shared_adaln=true, zero_init_residual_scale=true, weight_decay=1e-4, sandwich_norm=false","{""blr"": ""3e-3"", ""in_context_start"": ""11"", ""learned_pos_embed"": ""true"", ""shared_adaln"": ""true"", ""zero_init_residual_scale"": ""true"", ""weight_decay"": ""1e-4"", ""sandwich_norm"": ""false""}"
2026-03-17 13:30:02,11,b11_hypercrazy_6,failed,FAILED,"Hyper-Crazy: shared_adaln=true, mlp_ratio=16.0, attn_dropout=0.2, weight_decay=0.1, zero_init_residual_scale=true, in_context_len=512, bottleneck_dim=1024, grad_clip=0.01, P_mean=-5.0, skip_connections=false","{""blr"": ""3e-3"", ""shared_adaln"": ""true"", ""mlp_ratio"": ""16.0"", ""attn_dropout"": ""0.2"", ""weight_decay"": ""0.1"", ""zero_init_residual_scale"": ""true"", ""in_context_len"": ""512"", ""bottleneck_dim"": ""1024"", ""grad_clip"": ""0.01"", ""P_mean"": ""-5.0"", ""skip_connections"": ""false""}"
2026-03-17 13:30:17,11,b11_hypercrazy_7,done,0.8037,"Hyper-Crazy: grad_clip=5.0, zero_init_residual_scale=true, mlp_ratio=8.0, learned_pos_embed=false, proj_dropout=0.1, skip_connections=true, sandwich_norm=true, shared_adaln=false, in_context_len=256, in_context_start=4","{""blr"": ""3e-3"", ""grad_clip"": ""5.0"", ""zero_init_residual_scale"": ""true"", ""mlp_ratio"": ""8.0"", ""learned_pos_embed"": ""false"", ""proj_dropout"": ""0.1"", ""skip_connections"": ""true"", ""sandwich_norm"": ""true"", ""shared_adaln"": ""false"", ""in_context_len"": ""256"", ""in_context_start"": ""4""}"
2026-03-17 13:30:43,12,b12_exploit_0,done,0.2344,Exploit mutation: proj_dropout=0.4,"{""blr"": ""3e-3"", ""P_std"": ""0.1"", ""P_mean"": ""-2.0"", ""zero_init_residual_scale"": ""false"", ""bottleneck_dim"": ""1536"", ""in_context_start"": ""5"", ""in_context_len"": ""64"", ""learned_pos_embed"": ""false"", ""proj_dropout"": ""0.4"", ""attn_dropout"": ""0.1"", ""skip_connections"": ""false"", ""weight_decay"": ""1e-2""}"
2026-03-17 13:30:57,12,b12_crazy_1,done,0.2855,"Crazy: skip_connections=false, grad_clip=10.0, shared_adaln=false, P_std=0.7, sandwich_norm=true","{""blr"": ""3e-3"", ""P_std"": ""0.7"", ""P_mean"": ""-2.0"", ""zero_init_residual_scale"": ""false"", ""bottleneck_dim"": ""1536"", ""in_context_start"": ""5"", ""in_context_len"": ""64"", ""learned_pos_embed"": ""false"", ""proj_dropout"": ""0.0"", ""attn_dropout"": ""0.1"", ""skip_connections"": ""false"", ""weight_decay"": ""1e-2"", ""grad_clip"": ""10.0"", ""shared_adaln"": ""false"", ""sandwich_norm"": ""true""}"
2026-03-17 13:31:11,12,b12_crazy_2,done,0.4436,"Crazy: grad_clip=5.0, proj_dropout=0.2, learned_pos_embed=true, shared_adaln=false","{""blr"": ""3e-3"", ""grad_clip"": ""5.0"", ""proj_dropout"": ""0.2"", ""learned_pos_embed"": ""true"", ""shared_adaln"": ""false""}"
2026-03-17 13:31:26,12,b12_crazy_3,done,0.4646,"Crazy: shared_adaln=false, bottleneck_dim=16, grad_clip=1.0, P_mean=-0.5, in_context_len=4, P_std=0.2","{""blr"": ""3e-3"", ""shared_adaln"": ""false"", ""bottleneck_dim"": ""16"", ""grad_clip"": ""1.0"", ""P_mean"": ""-0.5"", ""in_context_len"": ""4"", ""P_std"": ""0.2""}"
2026-03-17 13:31:40,12,b12_crazy_4,done,0.2506,"Crazy: grad_clip=0.1, sandwich_norm=false, shared_adaln=false, weight_decay=0.5","{""blr"": ""3e-3"", ""P_std"": ""0.1"", ""P_mean"": ""-2.0"", ""zero_init_residual_scale"": ""false"", ""bottleneck_dim"": ""1536"", ""in_context_start"": ""5"", ""in_context_len"": ""64"", ""learned_pos_embed"": ""false"", ""proj_dropout"": ""0.0"", ""attn_dropout"": ""0.1"", ""skip_connections"": ""false"", ""weight_decay"": ""0.5"", ""grad_clip"": ""0.1"", ""sandwich_norm"": ""false"", ""shared_adaln"": ""false""}"
2026-03-17 13:31:54,12,b12_crazy_5,done,0.3118,"Crazy: sandwich_norm=true, P_mean=-10.0, bottleneck_dim=128, weight_decay=1e-2","{""blr"": ""3e-3"", ""P_std"": ""0.1"", ""P_mean"": ""-10.0"", ""zero_init_residual_scale"": ""false"", ""bottleneck_dim"": ""128"", ""in_context_start"": ""5"", ""in_context_len"": ""64"", ""learned_pos_embed"": ""false"", ""proj_dropout"": ""0.0"", ""attn_dropout"": ""0.1"", ""skip_connections"": ""false"", ""weight_decay"": ""1e-2"", ""sandwich_norm"": ""true""}"
